udi,product_id,product_type,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,failure_type,source_dataset,twf,hdf,pwf,osf,rnf,failure_family
7105,L54284,L,300.9,310.4,1454,43.1,43,0,No Failure,merged,0,0,0,0,0,No Failure
5357,H34770,H,303.3,312.6,1692,29.0,125,0,No Failure,merged,0,0,0,0,0,No Failure
6704,M21563,M,301.5,310.7,1744,28.2,61,0,No Failure,merged,0,0,0,0,0,No Failure
4975,L52154,L,303.8,312.7,1414,41.7,190,0,No Failure,merged,0,0,0,0,0,No Failure
6145,M21004,M,301.1,311.1,1615,37.7,153,0,No Failure,merged,0,0,0,0,0,No Failure
6623,L53802,L,301.7,310.7,1493,51.1,87,0,No Failure,merged,0,0,0,0,0,No Failure
884,L48063,L,295.7,306.3,1490,34.3,97,0,No Failure,merged,0,0,0,0,0,No Failure
1649,L48828,L,297.9,307.8,1373,50.2,130,0,No Failure,merged,0,0,0,0,0,No Failure
7919,L55098,L,300.8,312.1,1505,41.3,173,0,No Failure,merged,0,0,0,0,0,No Failure
9219,L56398,L,297.7,308.8,1354,50.2,103,0,No Failure,merged,0,0,0,0,0,No Failure
8226,L55405,L,299.1,310.5,1532,36.6,62,0,No Failure,merged,0,0,0,0,0,No Failure
8505,L55684,L,298.4,309.7,1419,41.3,159,0,No Failure,merged,0,0,0,0,0,No Failure
4508,L51687,L,302.4,310.1,1709,31.8,100,0,No Failure,merged,0,0,0,0,0,No Failure
9682,M24541,M,299.1,310.1,1412,44.4,24,0,No Failure,merged,0,0,0,0,0,No Failure
3305,L50484,L,301.2,310.3,1497,45.7,76,0,No Failure,merged,0,0,0,0,0,No Failure
6054,L53233,L,300.8,310.9,1748,29.9,140,0,No Failure,merged,0,0,0,0,0,No Failure
5656,L52835,L,302.3,311.5,1387,47.3,2,0,No Failure,merged,0,0,0,0,0,No Failure
9563,M24422,M,299.7,311.0,1435,50.1,168,0,No Failure,merged,0,0,0,0,0,No Failure
7463,L54642,L,300.0,311.3,1703,30.4,85,0,No Failure,merged,0,0,0,0,0,No Failure
3671,L50850,L,302.3,311.7,1701,27.5,145,0,No Failure,merged,0,0,0,0,0,No Failure
444,H29857,H,297.4,308.5,1469,45.1,63,0,No Failure,merged,0,0,0,0,0,No Failure
8128,M22987,M,300.1,311.3,1650,33.8,38,0,No Failure,merged,0,0,0,0,0,No Failure
2855,L50034,L,300.5,309.3,1470,40.8,219,0,No Failure,merged,0,0,0,0,0,No Failure
2276,L49455,L,299.3,308.6,1605,37.0,78,0,No Failure,merged,0,0,0,0,0,No Failure
7040,H36453,H,300.6,310.5,1519,37.0,91,0,No Failure,merged,0,0,0,0,0,No Failure
4900,L52079,L,303.6,312.3,2168,17.7,219,0,No Failure,merged,0,0,0,0,0,No Failure
7306,M22165,M,300.0,310.5,1790,25.7,123,0,No Failure,merged,0,0,0,0,0,No Failure
9066,H38479,H,297.2,308.4,2182,17.3,119,0,No Failure,merged,0,0,0,0,0,No Failure
3183,M18042,M,300.1,309.3,1443,50.3,196,0,No Failure,merged,0,0,0,0,0,No Failure
3907,L51086,L,302.3,311.2,1297,62.5,109,0,No Failure,merged,0,0,0,0,0,No Failure
3476,L50655,L,301.8,310.7,1644,33.4,68,0,No Failure,merged,0,0,0,0,0,No Failure
7286,M22145,M,300.2,310.4,1202,61.7,74,0,No Failure,merged,0,0,0,0,0,No Failure
9463,L56642,L,298.5,309.3,1570,40.1,131,0,No Failure,merged,0,0,0,0,0,No Failure
3362,L50541,L,301.5,310.6,1519,40.7,208,0,No Failure,merged,0,0,0,0,0,No Failure
6852,M21711,M,301.0,311.2,1394,41.3,16,0,No Failure,merged,0,0,0,0,0,No Failure
3027,M17886,M,300.4,309.5,1888,21.9,221,0,No Failure,merged,0,0,0,0,0,No Failure
9438,M24297,M,298.1,308.7,1527,43.0,56,0,No Failure,merged,0,0,0,0,0,No Failure
6764,M21623,M,301.4,310.8,1782,26.5,6,0,No Failure,merged,0,0,0,0,0,No Failure
8252,L55431,L,299.0,310.4,1981,21.2,125,0,No Failure,merged,0,0,0,0,0,No Failure
2161,L49340,L,299.4,309.0,1507,41.0,213,0,No Failure,merged,0,0,0,0,0,No Failure
4340,L51519,L,301.7,309.9,1524,46.6,104,0,No Failure,merged,0,0,0,0,0,No Failure
7333,M22192,M,299.8,310.3,1805,23.7,198,0,No Failure,merged,0,0,0,0,0,No Failure
509,L47688,L,297.7,309.3,1893,24.6,15,0,No Failure,merged,0,0,0,0,0,No Failure
7899,L55078,L,300.8,312.5,1423,47.3,123,0,No Failure,merged,0,0,0,0,0,No Failure
8595,L55774,L,297.4,308.0,1356,51.9,184,0,No Failure,merged,0,0,0,0,0,No Failure
7813,L54992,L,300.0,311.5,1666,32.0,128,0,No Failure,merged,0,0,0,0,0,No Failure
161,L47340,L,298.4,308.2,1282,60.7,216,1,Overstrain Failure,merged,0,0,0,1,0,Overstrain Failure
9209,L56388,L,298.0,308.9,1406,40.9,77,0,No Failure,merged,0,0,0,0,0,No Failure
118,L47297,L,298.8,308.6,1599,33.0,101,0,No Failure,merged,0,0,0,0,0,No Failure
8210,L55389,L,299.3,310.8,1391,46.9,21,0,No Failure,merged,0,0,0,0,0,No Failure
4718,M19577,M,303.4,311.6,1425,45.4,184,0,No Failure,merged,0,0,0,0,0,No Failure
7360,M22219,M,299.4,310.0,1512,43.2,47,0,No Failure,merged,0,0,0,0,0,No Failure
1886,L49065,L,298.0,307.6,1683,32.8,122,0,No Failure,merged,0,0,0,0,0,No Failure
326,L47505,L,297.8,308.5,1699,27.8,199,0,No Failure,merged,0,0,0,0,0,No Failure
9517,L56696,L,298.9,310.1,1341,54.5,51,0,No Failure,merged,0,0,0,0,0,No Failure
8416,M23275,M,298.7,309.9,1434,53.0,144,0,No Failure,merged,0,0,0,0,0,No Failure
1413,M16272,M,298.8,309.9,1415,53.2,194,0,No Failure,merged,0,0,0,0,0,No Failure
4205,M19064,M,302.3,310.9,1523,43.2,210,0,No Failure,merged,0,0,0,0,0,No Failure
7507,L54686,L,300.5,311.9,1511,41.8,205,0,No Failure,merged,0,0,0,0,0,No Failure
194,H29607,H,298.2,308.4,1678,34.6,81,0,No Failure,merged,0,0,0,0,0,No Failure
5000,M19859,M,303.7,312.9,1532,41.3,32,0,No Failure,merged,0,0,0,0,0,No Failure
3875,L51054,L,302.6,311.7,1254,54.1,19,0,No Failure,merged,0,0,0,0,0,No Failure
2589,L49768,L,299.0,308.7,1706,28.6,206,0,No Failure,merged,0,0,0,0,0,No Failure
8709,M23568,M,297.2,308.5,1364,54.0,43,0,No Failure,merged,0,0,0,0,0,No Failure
7687,M22546,M,300.7,311.7,1504,36.9,229,0,No Failure,merged,0,0,0,0,0,No Failure
4823,L52002,L,303.5,311.9,1565,38.9,12,0,No Failure,merged,0,0,0,0,0,No Failure
1813,L48992,L,298.2,307.8,1476,36.8,134,0,No Failure,merged,0,0,0,0,0,No Failure
1217,L48396,L,296.9,308.0,1514,41.0,120,0,No Failure,merged,0,0,0,0,0,No Failure
2957,M17816,M,300.8,309.6,1404,38.7,44,0,No Failure,merged,0,0,0,0,0,No Failure
8953,M23812,M,297.2,308.0,1478,42.5,56,0,No Failure,merged,0,0,0,0,0,No Failure
1449,M16308,M,299.0,310.3,1657,31.0,70,0,No Failure,merged,0,0,0,0,0,No Failure
732,M15591,M,297.3,308.6,1431,53.0,160,0,No Failure,merged,0,0,0,0,0,No Failure
7421,L54600,L,300.1,311.3,1547,40.0,201,0,No Failure,merged,0,0,0,0,0,No Failure
7555,M22414,M,300.3,311.4,1371,50.2,109,0,No Failure,merged,0,0,0,0,0,No Failure
7042,L54221,L,300.6,310.5,1470,37.7,98,0,No Failure,merged,0,0,0,0,0,No Failure
9852,M24711,M,298.5,309.3,1761,27.2,49,0,No Failure,merged,0,0,0,0,0,No Failure
4958,M19817,M,303.8,312.6,1768,23.9,149,0,No Failure,merged,0,0,0,0,0,No Failure
230,L47409,L,298.3,308.5,1538,32.2,173,0,No Failure,merged,0,0,0,0,0,No Failure
3816,L50995,L,302.2,310.7,1769,24.9,91,0,No Failure,merged,0,0,0,0,0,No Failure
1248,L48427,L,297.2,308.5,1513,42.9,212,0,No Failure,merged,0,0,0,0,0,No Failure
2432,M17291,M,298.9,308.2,1411,51.3,43,0,No Failure,merged,0,0,0,0,0,No Failure
6932,M21791,M,300.8,311.4,1521,39.9,15,0,No Failure,merged,0,0,0,0,0,No Failure
4968,L52147,L,303.9,312.6,1426,53.4,172,0,No Failure,merged,0,0,0,0,0,No Failure
178,L47357,L,298.2,308.2,1988,21.4,41,0,No Failure,merged,0,0,0,0,0,No Failure
128,L47307,L,298.9,308.6,1413,46.5,122,0,No Failure,merged,0,0,0,0,0,No Failure
8456,L55635,L,298.6,309.9,1356,59.5,34,0,No Failure,merged,0,0,0,0,0,No Failure
9077,L56256,L,297.2,308.1,1474,44.3,152,0,No Failure,merged,0,0,0,0,0,No Failure
5348,L52527,L,303.3,312.7,1262,63.8,100,0,No Failure,merged,0,0,0,0,0,No Failure
310,M15169,M,297.9,308.5,1449,40.8,157,0,No Failure,merged,0,0,0,0,0,No Failure
9712,H39125,H,299.1,310.1,1429,42.9,96,0,No Failure,merged,0,0,0,0,0,No Failure
3946,L51125,L,302.2,311.3,1570,36.1,0,0,No Failure,merged,0,0,0,0,0,No Failure
9179,L56358,L,297.8,309.0,1340,56.9,6,0,No Failure,merged,0,0,0,0,0,No Failure
8451,L55630,L,298.4,310.0,1559,44.2,23,0,No Failure,merged,0,0,0,0,0,No Failure
9362,L56541,L,298.0,308.6,1610,33.1,56,0,No Failure,merged,0,0,0,0,0,No Failure
5346,L52525,L,303.5,312.8,1524,39.4,96,0,No Failure,merged,0,0,0,0,0,No Failure
9473,M24332,M,298.7,309.4,1375,48.3,157,0,No Failure,merged,0,0,0,0,0,No Failure
8649,M23508,M,297.4,308.4,1478,46.2,95,0,No Failure,merged,0,0,0,0,0,No Failure
8100,L55279,L,300.2,311.7,1603,30.5,176,0,No Failure,merged,0,0,0,0,0,No Failure
8846,M23705,M,297.4,308.9,1348,59.1,201,0,No Failure,merged,0,0,0,0,0,No Failure
2714,M17573,M,299.6,309.2,1651,30.8,92,0,No Failure,merged,0,0,0,0,0,No Failure
1518,M16377,M,298.2,308.9,1408,38.8,20,0,No Failure,merged,0,0,0,0,0,No Failure
2670,H32083,H,299.7,309.3,1494,37.8,214,0,No Failure,merged,0,0,0,0,0,No Failure
9632,L56811,L,299.0,310.0,1672,33.2,144,0,No Failure,merged,0,0,0,0,0,No Failure
907,M15766,M,295.6,306.1,1462,49.2,158,0,No Failure,merged,0,0,0,0,0,No Failure
6947,L54126,L,300.7,311.2,1486,46.8,56,0,No Failure,merged,0,0,0,0,0,No Failure
8093,M22952,M,300.2,311.6,1513,40.8,157,0,No Failure,merged,0,0,0,0,0,No Failure
8433,L55612,L,298.8,310.0,1537,39.9,190,0,No Failure,merged,0,0,0,0,0,No Failure
8435,M23294,M,298.7,309.9,1654,29.1,195,0,No Failure,merged,0,0,0,0,0,No Failure
1519,H30932,H,298.2,309.0,1371,55.7,23,0,No Failure,merged,0,0,0,0,0,No Failure
4687,M19546,M,303.5,311.6,1562,34.2,107,0,No Failure,merged,0,0,0,0,0,No Failure
9035,H38448,H,297.4,308.2,1585,46.2,37,0,No Failure,merged,0,0,0,0,0,No Failure
2131,L49310,L,299.4,309.0,1391,58.2,135,0,No Failure,merged,0,0,0,0,0,No Failure
9126,L56305,L,297.4,308.5,1569,34.2,72,0,No Failure,merged,0,0,0,0,0,No Failure
5856,M20715,M,301.2,310.9,1424,45.2,68,0,No Failure,merged,0,0,0,0,0,No Failure
4734,L51913,L,303.3,311.6,1484,44.6,223,0,No Failure,merged,0,0,0,0,0,No Failure
9658,L56837,L,299.0,310.0,1484,39.6,212,0,No Failure,merged,0,0,0,0,0,No Failure
9939,L57118,L,298.3,308.1,1528,33.9,82,0,No Failure,merged,0,0,0,0,0,No Failure
3372,L50551,L,301.4,310.7,1989,21.8,19,0,No Failure,merged,0,0,0,0,0,No Failure
8757,L55936,L,297.5,308.7,1761,26.2,164,0,No Failure,merged,0,0,0,0,0,No Failure
4723,M19582,M,303.4,311.8,1391,42.7,197,0,No Failure,merged,0,0,0,0,0,No Failure
3247,L50426,L,301.0,309.7,1468,42.0,141,0,No Failure,merged,0,0,0,0,0,No Failure
6540,L53719,L,301.4,310.7,1436,54.1,90,0,No Failure,merged,0,0,0,0,0,No Failure
936,M15795,M,295.5,306.0,1641,36.6,21,0,No Failure,merged,0,0,0,0,0,No Failure
344,L47523,L,297.5,308.3,1388,48.6,27,0,No Failure,merged,0,0,0,0,0,No Failure
1187,L48366,L,297.3,308.4,1417,47.8,31,0,No Failure,merged,0,0,0,0,0,No Failure
3491,M18350,M,301.9,310.9,1763,28.4,103,0,No Failure,merged,0,0,0,0,0,No Failure
4689,L51868,L,303.5,311.6,1577,38.1,112,0,No Failure,merged,0,0,0,0,0,No Failure
2379,L49558,L,299.1,308.2,1348,56.1,110,0,No Failure,merged,0,0,0,0,0,No Failure
6926,M21785,M,301.1,311.6,1266,55.5,210,0,No Failure,merged,0,0,0,0,0,No Failure
9254,M24113,M,298.2,309.0,1508,40.5,192,0,No Failure,merged,0,0,0,0,0,No Failure
8908,M23767,M,297.2,308.6,1404,43.7,160,0,No Failure,merged,0,0,0,0,0,No Failure
5825,L53004,L,301.2,311.0,1596,37.2,219,0,No Failure,merged,0,0,0,0,0,No Failure
4017,L51196,L,302.1,310.9,1658,30.3,186,0,No Failure,merged,0,0,0,0,0,No Failure
184,L47363,L,298.1,308.2,1485,40.7,57,0,No Failure,merged,0,0,0,0,0,No Failure
9479,L56658,L,298.8,309.6,1890,24.0,173,0,No Failure,merged,0,0,0,0,0,No Failure
9122,L56301,L,297.3,308.3,1396,45.9,64,0,No Failure,merged,0,0,0,0,0,No Failure
8363,L55542,L,298.6,309.6,1353,62.5,9,0,No Failure,merged,0,0,0,0,0,No Failure
1058,L48237,L,296.8,307.8,1573,36.4,126,0,No Failure,merged,0,0,0,0,0,No Failure
2761,L49940,L,299.8,309.2,1400,42.6,210,0,No Failure,merged,0,0,0,0,0,No Failure
8815,L55994,L,297.2,308.4,1462,51.2,102,0,No Failure,merged,0,0,0,0,0,No Failure
6457,L53636,L,300.7,310.2,1387,50.6,83,0,No Failure,merged,0,0,0,0,0,No Failure
4884,M19743,M,303.8,312.6,1684,29.3,167,0,No Failure,merged,0,0,0,0,0,No Failure
1746,L48925,L,298.5,308.0,1624,29.8,160,0,No Failure,merged,0,0,0,0,0,No Failure
6082,L53261,L,300.9,310.7,1517,41.7,210,0,No Failure,merged,0,0,0,0,0,No Failure
8353,L55532,L,298.6,309.6,1491,36.9,192,0,No Failure,merged,0,0,0,0,0,No Failure
1284,L48463,L,298.3,309.4,1356,45.4,96,0,No Failure,merged,0,0,0,0,0,No Failure
3415,L50594,L,301.3,310.3,1555,41.2,131,0,No Failure,merged,0,0,0,0,0,No Failure
7677,L54856,L,300.6,311.7,1448,49.1,206,0,No Failure,merged,0,0,0,0,0,No Failure
3092,L50271,L,300.0,309.3,1558,29.7,168,0,No Failure,merged,0,0,0,0,0,No Failure
5214,M20073,M,303.7,312.6,1429,43.3,189,0,No Failure,merged,0,0,0,0,0,No Failure
2285,L49464,L,299.2,308.5,1378,53.4,100,0,No Failure,merged,0,0,0,0,0,No Failure
3966,L51145,L,302.3,311.5,1507,37.5,55,0,No Failure,merged,0,0,0,0,0,No Failure
6131,L53310,L,301.0,310.9,1473,44.2,116,0,No Failure,merged,0,0,0,0,0,No Failure
8805,M23664,M,297.5,308.6,1255,60.7,77,0,No Failure,merged,0,0,0,0,0,No Failure
7440,L54619,L,300.0,311.3,1493,41.4,28,0,No Failure,merged,0,0,0,0,0,No Failure
2151,H31564,H,299.3,308.8,1636,35.5,180,0,No Failure,merged,0,0,0,0,0,No Failure
1700,L48879,L,298.1,307.7,1289,48.3,42,0,No Failure,merged,0,0,0,0,0,No Failure
342,M15201,M,297.4,308.2,1530,32.6,22,0,No Failure,merged,0,0,0,0,0,No Failure
2458,L49637,L,299.0,308.6,1661,32.2,106,0,No Failure,merged,0,0,0,0,0,No Failure
5819,L52998,L,301.3,311.0,1539,36.9,206,0,No Failure,merged,0,0,0,0,0,No Failure
3631,L50810,L,302.0,311.2,1845,27.3,45,0,No Failure,merged,0,0,0,0,0,No Failure
5695,L52874,L,302.4,311.8,1508,45.7,108,0,No Failure,merged,0,0,0,0,0,No Failure
9723,H39136,H,298.8,309.8,1911,21.6,126,0,No Failure,merged,0,0,0,0,0,No Failure
5978,L53157,L,300.6,310.7,1750,30.6,171,0,No Failure,merged,0,0,0,0,0,No Failure
4405,M19264,M,302.4,310.2,1485,45.9,50,0,No Failure,merged,0,0,0,0,0,No Failure
4868,L52047,L,303.6,312.5,1345,54.1,126,0,No Failure,merged,0,0,0,0,0,No Failure
4909,M19768,M,303.6,312.5,1459,48.2,17,0,No Failure,merged,0,0,0,0,0,No Failure
8211,H37624,H,299.2,310.7,1636,29.4,23,0,No Failure,merged,0,0,0,0,0,No Failure
5473,L52652,L,302.8,312.3,1386,57.8,172,0,No Failure,merged,0,0,0,0,0,No Failure
4248,L51427,L,302.6,311.0,1369,60.0,93,1,Heat Dissipation Failure,merged,0,1,0,0,0,Heat Dissipation Failure
5664,M20523,M,302.3,311.5,1530,42.3,21,0,No Failure,merged,0,0,0,0,0,No Failure
4349,L51528,L,301.9,309.8,1507,44.7,131,0,No Failure,merged,0,0,0,0,0,No Failure
7971,M22830,M,300.9,312.1,1297,48.6,76,0,No Failure,merged,0,0,0,0,0,No Failure
199,L47378,L,298.4,308.7,1588,35.0,99,0,No Failure,merged,0,0,0,0,0,No Failure
2289,M17148,M,299.4,308.6,1541,39.1,109,0,No Failure,merged,0,0,0,0,0,No Failure
3895,M18754,M,302.3,311.2,1432,42.7,68,0,No Failure,merged,0,0,0,0,0,No Failure
6537,L53716,L,301.3,310.5,1406,47.1,83,0,No Failure,merged,0,0,0,0,0,No Failure
6476,L53655,L,300.5,309.7,1560,30.2,139,0,No Failure,merged,0,0,0,0,0,No Failure
6408,M21267,M,300.3,309.9,1611,29.0,177,0,No Failure,merged,0,0,0,0,0,No Failure
5355,L52534,L,303.4,312.6,1462,37.5,118,0,No Failure,merged,0,0,0,0,0,No Failure
1279,L48458,L,298.2,309.4,1398,52.9,79,0,No Failure,merged,0,0,0,0,0,No Failure
4052,L51231,L,301.8,310.8,1383,46.4,37,0,No Failure,merged,0,0,0,0,0,No Failure
8051,L55230,L,300.7,312.0,1401,51.1,50,0,No Failure,merged,0,0,0,0,0,No Failure
8243,M23102,M,299.0,310.3,1689,29.7,101,0,No Failure,merged,0,0,0,0,0,No Failure
6295,L53474,L,301.1,310.5,1529,38.7,91,0,No Failure,merged,0,0,0,0,0,No Failure
2292,M17151,M,299.5,308.8,1886,20.9,117,0,No Failure,merged,0,0,0,0,0,No Failure
4497,M19356,M,302.5,310.4,1605,36.0,69,0,No Failure,merged,0,0,0,0,0,No Failure
3794,L50973,L,302.3,310.9,1379,49.3,34,1,Heat Dissipation Failure,merged,0,1,0,0,0,Heat Dissipation Failure
1571,L48750,L,298.2,308.4,1452,43.5,158,0,No Failure,merged,0,0,0,0,0,No Failure
4005,L51184,L,302.0,311.1,1373,55.7,157,0,No Failure,merged,0,0,0,0,0,No Failure
8954,L56133,L,297.3,308.0,1518,36.0,59,0,No Failure,merged,0,0,0,0,0,No Failure
597,M15456,M,297.6,309.6,1530,37.3,10,0,No Failure,merged,0,0,0,0,0,No Failure
5217,M20076,M,303.7,312.7,1316,51.8,197,0,No Failure,merged,0,0,0,0,0,No Failure
3712,L50891,L,302.2,311.5,1543,38.5,37,0,No Failure,merged,0,0,0,0,0,No Failure
4213,M19072,M,302.0,310.6,1392,60.5,10,0,No Failure,merged,0,0,0,0,0,No Failure
5913,M20772,M,300.7,310.3,1659,29.8,6,0,No Failure,merged,0,0,0,0,0,No Failure
8489,L55668,L,298.4,309.4,1385,43.2,119,0,No Failure,merged,0,0,0,0,0,No Failure
2206,L49385,L,299.9,309.2,1624,34.6,105,0,No Failure,merged,0,0,0,0,0,No Failure
1710,L48889,L,298.2,307.8,1749,26.1,66,0,No Failure,merged,0,0,0,0,0,No Failure
6484,L53663,L,300.7,309.9,1412,45.3,155,0,No Failure,merged,0,0,0,0,0,No Failure
3911,L51090,L,302.4,311.4,1831,26.9,121,0,No Failure,merged,0,0,0,0,0,No Failure
5753,H35166,H,302.3,311.8,1804,25.0,43,0,No Failure,merged,0,0,0,0,0,No Failure
3388,M18247,M,301.6,310.8,1290,65.3,63,0,No Failure,merged,0,0,0,0,0,No Failure
2896,M17755,M,300.7,309.6,1473,48.1,87,0,No Failure,merged,0,0,0,0,0,No Failure
8791,L55970,L,297.4,308.5,1410,43.9,47,0,No Failure,merged,0,0,0,0,0,No Failure
7601,M22460,M,300.4,311.0,1595,35.4,15,0,No Failure,merged,0,0,0,0,0,No Failure
9375,M24234,M,297.8,308.5,1466,44.7,88,0,No Failure,merged,0,0,0,0,0,No Failure
4546,L51725,L,302.5,310.5,1463,43.0,189,0,No Failure,merged,0,0,0,0,0,No Failure
3095,L50274,L,300.0,309.3,1972,22.0,175,0,No Failure,merged,0,0,0,0,0,No Failure
9157,M24016,M,297.5,308.4,1369,54.8,145,0,No Failure,merged,0,0,0,0,0,No Failure
2491,H31904,H,299.1,308.8,1566,46.6,192,0,No Failure,merged,0,0,0,0,0,No Failure
7861,L55040,L,300.5,312.0,1415,44.6,23,0,No Failure,merged,0,0,0,0,0,No Failure
2836,L50015,L,300.3,309.2,1572,32.0,173,0,No Failure,merged,0,0,0,0,0,No Failure
8616,L55795,L,297.6,308.6,1382,47.1,11,0,No Failure,merged,0,0,0,0,0,No Failure
8566,L55745,L,298.0,308.8,1489,36.5,109,0,No Failure,merged,0,0,0,0,0,No Failure
1393,M16252,M,299.0,310.3,1494,46.6,144,0,No Failure,merged,0,0,0,0,0,No Failure
5734,L52913,L,302.3,311.8,1487,43.2,206,0,No Failure,merged,0,0,0,0,0,No Failure
32,L47211,L,299.0,309.4,1798,25.5,89,0,No Failure,merged,0,0,0,0,0,No Failure
7409,L54588,L,299.9,310.9,1292,51.1,173,0,No Failure,merged,0,0,0,0,0,No Failure
3025,L50204,L,300.5,309.6,1465,41.6,217,0,No Failure,merged,0,0,0,0,0,No Failure
3318,L50497,L,301.5,310.5,1636,28.7,106,0,No Failure,merged,0,0,0,0,0,No Failure
9599,L56778,L,299.0,310.2,1490,41.1,54,0,No Failure,merged,0,0,0,0,0,No Failure
6863,M21722,M,301.1,311.2,1384,49.4,48,0,No Failure,merged,0,0,0,0,0,No Failure
9872,M24731,M,298.9,309.8,1947,21.7,105,0,No Failure,merged,0,0,0,0,0,No Failure
5085,L52264,L,304.1,313.1,1969,20.8,59,0,No Failure,merged,0,0,0,0,0,No Failure
929,L48108,L,295.6,306.0,1949,21.9,5,0,No Failure,merged,0,0,0,0,0,No Failure
9784,H39197,H,298.8,309.9,1466,44.6,66,0,No Failure,merged,0,0,0,0,0,No Failure
4186,L51365,L,302.2,310.6,1348,48.4,161,1,Heat Dissipation Failure,merged,0,1,0,0,0,Heat Dissipation Failure
5663,L52842,L,302.2,311.5,1616,34.0,19,0,No Failure,merged,0,0,0,0,0,No Failure
5207,H34620,H,303.7,312.6,1711,27.6,170,0,No Failure,merged,0,0,0,0,0,No Failure
5143,L52322,L,304.4,313.6,1568,39.1,0,0,No Failure,merged,0,0,0,0,0,No Failure
9441,M24300,M,298.1,308.8,1378,53.5,65,0,No Failure,merged,0,0,0,0,0,No Failure
3187,M18046,M,300.2,309.4,1456,48.8,205,0,No Failure,merged,0,0,0,0,0,No Failure
1082,L48261,L,297.0,307.8,1521,40.2,190,0,No Failure,merged,0,0,0,0,0,No Failure
8884,M23743,M,297.9,309.2,1529,38.1,96,0,No Failure,merged,0,0,0,0,0,No Failure
2126,L49305,L,299.3,308.9,1258,69.4,119,1,Power Failure,merged,0,0,1,0,0,Power Failure
6927,H36340,H,301.1,311.6,1417,53.4,0,0,No Failure,merged,0,0,0,0,0,No Failure
3614,L50793,L,301.7,310.9,1557,39.4,2,0,No Failure,merged,0,0,0,0,0,No Failure
2031,L49210,L,298.9,308.6,1400,49.5,79,0,No Failure,merged,0,0,0,0,0,No Failure
9444,H38857,H,298.0,308.8,1411,53.8,73,0,No Failure,merged,0,0,0,0,0,No Failure
240,L47419,L,298.0,308.2,1611,30.6,195,0,No Failure,merged,0,0,0,0,0,No Failure
3621,H33034,H,301.9,311.2,1474,41.8,18,0,No Failure,merged,0,0,0,0,0,No Failure
2012,L49191,L,298.7,308.5,1616,30.2,34,0,No Failure,merged,0,0,0,0,0,No Failure
637,L47816,L,298.3,309.9,1463,43.9,116,0,No Failure,merged,0,0,0,0,0,No Failure
